province,consumption
上海,60039.35
上海,32752.1
上海,53435.02
上海,60528.34
上海,45562.09
上海,51570.97
上海,53188.78
上海,60490.81
上海,56939.48
上海,1228.8
北京,81882.51
北京,46408.25
北京,86851.33
北京,85869.54
北京,12213.18
北京,9622.87
北京,16308.78
北京,98319.21
北京,87518.76
北京,14571.47
浙江,82429.15
浙江,88195.22
浙江,52314.79
浙江,9633.61
浙江,51583.46
浙江,92960.62
浙江,82065.1
浙江,64877.53
浙江,13696.7
浙江,20896.15
江苏,95959.6
江苏,39889.31
江苏,17286.94
江苏,74182.35
江苏,40471.16
江苏,49709.84
江苏,93496.2
江苏,88763.42
江苏,79677.42
江苏,34050.01
广东,53925.3
广东,88403.94
广东,769.64
广东,34865.61
广东,63163.46
广东,33573.88
广东,97212.92
广东,40405.65
广东,6984.78
广东,5327.79
福建,53550.16
福建,78542.99
福建,48854.64
福建,89941.9
福建,44703.71
福建,72640.47
福建,30928.25
福建,73989.18
福建,54645.39
福建,54015.75
山东,54111.76
山东,28710.12
山东,78728.1
山东,13374.56
山东,6130.69
山东,81953.97
山东,20820.14
山东,59404.04
山东,42144.92
山东,87448.38
内蒙古,59247.93
内蒙古,5150.01
内蒙古,37312.82
内蒙古,27261.91
内蒙古,21100.01
内蒙古,47710.19
内蒙古,16421.05
内蒙古,2556.02
内蒙古,34536.27
内蒙古,25860.81
辽宁,43324.4
辽宁,99069.46
辽宁,58309.45
辽宁,23016.49
辽宁,38155.43
辽宁,90501.59
辽宁,38596.69
辽宁,33874.57
辽宁,36049.43
辽宁,23861.07
重庆,36286.18
重庆,3384.75
重庆,14377.94
重庆,70943.59
重庆,56391.67
重庆,12289.75
重庆,1250.51
重庆,35964.04
重庆,64467.23
重庆,91766.37
湖南,31327.72
湖南,96837.29
湖南,55907.09
湖南,2670.71
湖南,62507.31
湖南,12808.24
湖南,59178.16
湖南,32423.7
湖南,96011.63
湖南,17832.26
湖北,33695.86
湖北,74107.02
湖北,29044.44
湖北,83185.35
湖北,2804.73
湖北,70817.37
湖北,24888.32
湖北,70503.59
湖北,62014.19
湖北,59273.02
安徽,73919.79
安徽,59959.0
安徽,88933.91
安徽,40480.44
安徽,12507.02
安徽,10341.34
安徽,3547.88
安徽,7142.32
安徽,41888.66
安徽,74597.74
江西,90739.33
江西,28356.31
江西,12867.72
江西,86604.77
江西,56414.22
江西,61781.22
江西,20009.96
江西,65461.08
江西,80057.13
江西,54039.99
海南,7914.86
海南,81742.96
海南,42765.73
海南,3364.73
海南,67112.05
海南,84402.7
海南,63356.85
海南,78408.04
海南,64260.89
海南,45371.35
河北,18521.42
河北,95706.77
河北,12121.26
河北,87897.54
河北,7587.77
河北,61308.0
河北,14463.04
河北,54184.4
河北,10019.75
河北,76358.42
四川,17562.52
四川,6542.81
四川,64434.92
四川,39215.66
四川,50395.64
四川,57603.29
四川,57032.49
四川,25137.57
四川,52197.27
四川,8190.11
陕西,90670.73
陕西,71301.61
陕西,61898.92
陕西,72192.41
陕西,94771.49
陕西,23842.95
陕西,10300.48
陕西,2371.21
陕西,7288.01
陕西,35760.57
宁夏,61981.97
宁夏,37894.41
宁夏,59460.24
宁夏,91767.39
宁夏,92775.15
宁夏,57489.63
宁夏,35472.5
宁夏,83817.49
宁夏,10574.59
宁夏,65596.73
山西,90887.16
山西,57466.76
山西,84653.38
山西,54944.49
山西,16911.68
山西,39096.26
山西,26829.1
山西,16686.46
山西,91470.37
山西,75702.64
河南,28007.02
河南,16728.01
河南,20121.29
河南,48175.94
河南,65781.67
河南,6677.75
河南,63745.54
河南,23588.1
河南,58327.97
河南,24080.81
西藏,38880.98
西藏,66848.55
西藏,87858.15
西藏,12942.62
西藏,47860.89
西藏,49655.75
西藏,31484.66
西藏,53312.76
西藏,29648.56
西藏,56256.34
吉林,3495.59
吉林,98023.96
吉林,29098.57
吉林,29060.22
吉林,17605.86
吉林,15276.44
吉林,17092.43
吉林,49623.1
吉林,59426.54
吉林,22892.88
黑龙江,92381.2
黑龙江,74301.91
黑龙江,36404.87
黑龙江,30330.42
黑龙江,78963.3
黑龙江,22670.96
黑龙江,32529.55
黑龙江,85556.66
黑龙江,93917.91
黑龙江,3862.04
广西,40570.56
广西,24047.39
广西,5632.99
广西,13115.49
广西,15421.76
广西,7161.72
广西,2521.58
广西,5692.35
广西,20132.19
广西,6367.97
新疆,74612.18
新疆,51560.54
新疆,20551.69
新疆,85618.16
新疆,76305.79
新疆,12290.58
新疆,99211.98
新疆,58001.95
新疆,40574.44
新疆,10527.97
青海,25349.17
青海,90594.99
青海,801.95
青海,60389.4
青海,8049.22
青海,81578.37
青海,13282.78
青海,50454.64
青海,54778.14
青海,49161.61
云南,94459.11
云南,299.4
云南,49581.38
云南,76152.31
云南,39752.08
云南,10226.4
云南,43405.65
云南,82777.49
云南,30726.7
云南,85404.59
贵州,18463.2
贵州,75277.35
贵州,4307.41
贵州,23392.44
贵州,23660.0
贵州,48892.89
贵州,81082.68
贵州,22718.83
贵州,42861.45
贵州,10439.43
甘肃,56407.82
甘肃,34087.7
甘肃,34021.8
甘肃,68853.72
甘肃,21108.49
甘肃,54554.94
甘肃,71631.14
甘肃,54621.65
甘肃,90529.36
甘肃,28761.63
